Particle ID,Area (ABD),Area (Filled),Aspect Ratio,Calibration Factor,Calibration Image,Camera,Capture X,Capture Y,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter,Convexity,Date,Diameter (ABD),Diameter (ESD),Diameter (FD),Edge Gradient,Elapsed Time,Elongation,Feret Angle Max,Feret Angle Min,Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Image File,Image Height,Image Width,Image X,Image Y,Intensity,Length,Original Reference ID,Particles Per Chain,Perimeter,Roughness,Sigma Intensity,Source Image,Sphere Complement,Sphere Count,Sphere Unknown,Sphere Volume,Sum Intensity,Symmetry,Time,Timestamp,Transparency,Volume (ABD),Volume (ESD),Width
11,36904.3395,36904.3395,0.5960,9.3032,1,1,552,903,0.5068,0.6163,0.8104,1.6227,856.0907,0.9470,2021-10-21,216.7673,253.2536,216.7673,161.4388,3.7040,2.7318,40.0000,-40.0000,0.2156,0.8227,0.0000,0.3661,378.8369,138.6760,294-032502 st2 4 juni 2021 50 m halv_000001.tif,38,31,763,0,40.3888,311.6572,23AAA122-9E28-4FF0-B874-98C54292A3AA,1,1035.0257,1.2090,26.2903,32,0.0000,0,0.0000,0.0000,24516.0000,0.3913,05:26:21,2021-10-21T05:26:21.089,0.1441,5.333103e+06,8.504825e+06,190.7156
12,252006.8380,256844.0098,0.3063,9.3032,1,1,735,898,0.0000,0.1535,0.1751,6.5163,3641.1543,0.4002,2021-10-21,566.4495,1139.6420,571.8601,135.9513,3.7040,18.4173,70.0000,-15.0000,0.5730,0.6357,0.0000,0.0543,2334.1620,126.7377,294-032502 st2 4 juni 2021 50 m halv_000001.tif,168,89,796,0,38.7901,1483.8604,435A5A00-F0B9-4E59-A468-193736B1986F,2,4921.7993,1.3517,23.7866,32,0.0000,0,0.0000,0.0000,130257.0000,0.4656,05:26:21,2021-10-21T05:26:21.089,0.5030,9.516610e+07,7.750040e+08,655.8756
13,101206.6047,101206.6047,0.4748,9.3032,1,1,734,739,0.1187,0.2315,0.5551,4.3195,1931.2569,0.5788,2021-10-21,358.9711,594.8875,358.9711,177.9536,3.7040,11.4831,65.0000,0.0000,0.4621,0.6840,0.0000,0.0871,1203.7629,104.8290,294-032502 st2 4 juni 2021 50 m halv_000001.tif,91,43,887,0,38.3436,823.3332,428CF67C-0561-4192-8670-7CB62D205F4F,1,2617.1837,1.3552,24.3870,32,0.0000,0,0.0000,0.0000,55905.0000,0.6632,05:26:21,2021-10-21T05:26:21.089,0.3966,2.422016e+07,1.102309e+08,320.9604
14,70491.8476,70491.8476,0.3704,9.3032,1,1,631,708,0.0000,0.1943,0.4570,5.1465,1957.0212,0.5468,2021-10-21,299.5881,603.4158,299.5881,116.1803,3.7040,14.0974,-60.0000,35.0000,0.3800,0.7247,0.0000,0.0709,1136.1743,80.5945,294-032502 st2 4 juni 2021 50 m halv_000001.tif,81,58,932,0,43.6786,823.3332,DC0AF917-69B2-4062-9DF8-8DCB49511600,1,2433.5376,1.2435,27.0875,32,0.0000,0,0.0000,0.0000,46212.0000,0.4678,05:26:21,2021-10-21T05:26:21.089,0.5035,1.407901e+07,1.150399e+08,348.8700
15,60589.8941,60589.8941,0.4918,9.3032,1,1,210,620,0.0000,0.2582,0.5942,3.8731,1815.8367,0.4866,2021-10-21,277.7507,559.2256,277.7507,134.2350,3.7040,10.0683,-40.0000,40.0000,0.1299,0.8850,0.0000,0.0993,898.7751,89.2675,294-032502 st2 4 juni 2021 50 m halv_000001.tif,63,74,992,0,39.0928,795.4236,F8B98621-9330-4907-867F-5531A5C81213,2,1976.0853,1.0883,24.1047,32,0.0000,0,0.0000,0.0000,36239.0000,0.2961,05:26:21,2021-10-21T05:26:21.089,0.5033,1.121926e+07,9.157137e+07,348.8700
16,186660.2571,186660.2571,0.8401,9.3032,1,1,146,110,0.5127,0.3868,0.9120,2.5851,1850.4251,0.8561,2021-10-21,487.5071,568.7874,487.5071,88.7602,3.7040,5.9534,60.0000,-85.0000,0.8229,0.5486,0.0000,0.1680,1144.6951,192.2743,294-032502 st2 4 juni 2021 50 m halv_000001.tif,69,69,1068,0,28.1589,627.9660,77E5B6FF-8C82-4201-B2AA-0B416A9454A1,3,2673.9388,1.4450,21.2517,32,0.0000,0,0.0000,0.0000,71608.0000,0.4122,05:26:21,2021-10-21T05:26:21.089,0.1429,6.066547e+07,9.634930e+07,516.3276
17,49457.1145,49457.1145,0.3882,9.3032,1,1,603,1832,0.2354,0.5303,0.6314,1.8858,1059.5787,0.9345,2021-10-21,250.9397,318.1173,250.9397,145.4336,3.8130,3.6504,55.0000,-35.0000,0.1219,0.8913,0.0000,0.2739,495.7866,135.8156,294-032502 st2 4 juni 2021 50 m halv_000001.tif,48,38,1139,0,33.3779,441.9020,BD81BDB9-B22C-4A88-97D3-4CD1EAA96F2D,1,1263.2043,1.1922,18.8166,33,0.0000,0,0.0000,0.0000,25968.0000,0.2450,05:26:21,2021-10-21T05:26:21.200,0.2112,8.273837e+06,1.685624e+07,162.8060
18,65642.4111,65642.4111,0.3792,9.3032,1,1,271,1583,0.0000,0.1109,0.3123,9.0201,1786.9875,0.4801,2021-10-21,289.0995,549.4061,289.0995,87.4369,3.8130,26.2996,50.0000,-55.0000,0.9363,0.5164,0.0000,0.0380,1504.1806,57.1941,294-032502 st2 4 juni 2021 50 m halv_000001.tif,75,65,0,195,57.8229,776.8172,15466533-B488-4784-B966-74C4BF8A8667,4,3122.7493,1.7475,19.0906,33,0.0000,0,0.0000,0.0000,57476.0000,0.0960,05:26:21,2021-10-21T05:26:21.200,0.4738,1.265146e+07,8.683183e+07,274.4444
19,44800.5517,44800.5517,0.7722,9.3032,1,1,642,1484,0.8032,0.9340,0.9664,1.0707,838.0118,1.0000,2021-10-21,238.8343,247.0521,238.8343,204.4167,3.8130,1.0000,65.0000,0.0000,0.0000,1.2438,0.0000,1.0000,228.1221,228.1221,294-032502 st2 4 juni 2021 50 m halv_000001.tif,38,31,67,195,28.7748,283.7476,12B17B61-67F0-46DA-BAA2-6D06115A7AA3,1,912.4886,1.0889,19.9078,33,0.0000,0,0.0000,0.0000,20574.0000,0.9202,05:26:21,2021-10-21T05:26:21.200,0.0333,7.133273e+06,7.895217e+06,209.3220
20,103455.6869,109517.3031,0.8244,9.3032,1,1,1017,1227,0.4225,0.3381,0.8703,2.9581,1617.4571,0.7987,2021-10-21,362.9378,495.6540,373.4190,107.4862,3.8130,7.1534,35.0000,-75.0000,0.7489,0.5718,0.0000,0.1398,984.3428,137.6045,294-032502 st2 4 juni 2021 50 m halv_000001.tif,54,64,100,195,32.5414,562.8436,9DD4B919-D55D-45DE-B4C6-ABC4978F5F54,1,2243.8946,1.3873,26.4706,33,0.0000,0,0.0000,0.0000,48389.0000,0.3905,05:26:21,2021-10-21T05:26:21.200,0.2678,2.503199e+07,6.375798e+07,386.0828
21,220887.8274,220887.8274,0.7500,9.3032,1,1,538,1183,0.0665,0.1831,0.6301,5.4623,2356.7824,0.6400,2021-10-21,530.3236,731.0762,530.3236,160.1387,3.8130,15.0939,0.0000,-65.0000,1.4202,0.4132,0.0000,0.0663,1970.0846,130.5216,294-032502 st2 4 juni 2021 50 m halv_000001.tif,89,96,166,195,32.2625,814.0300,91722360-90DF-48C3-8AA5-5609C506DF89,1,4201.2126,1.7826,23.6413,33,0.0000,0,0.0000,0.0000,95852.0000,0.1470,05:26:21,2021-10-21T05:26:21.200,0.2746,7.809468e+07,2.045910e+08,665.1788
22,66928.4286,66928.4286,0.6620,9.3032,1,1,791,1028,0.5942,0.6259,0.8723,1.5976,1127.8148,0.9149,2021-10-21,291.9177,340.3418,291.9177,137.7398,3.8130,2.6403,-45.0000,60.0000,0.1610,0.8613,0.0000,0.3787,480.6592,182.0449,294-032502 st2 4 juni 2021 50 m halv_000001.tif,41,46,264,195,35.3403,413.9924,3BCDB412-FC00-4F82-B587-9AAEB28C3B4D,1,1325.4083,1.1752,23.4728,33,0.0000,0,0.0000,0.0000,35729.0000,0.6679,05:26:21,2021-10-21T05:26:21.200,0.1423,1.302506e+07,2.064165e+07,283.7476
