017
num-fields|53
id|int32
image_x|int32
image_y|int32
image_w|int32
image_h|int32
src_x|int32
src_y|int32
src_image|int32
cal_image|int32
ppc|int32
camera|int32
cal_const|double
fringe_size|double
sphere_count|int32
raw_sphere_volume|double
raw_sphere_complement|double
raw_sphere_unknown|double
raw_area|double
raw_feret_max|double
raw_feret_min|double
raw_feret_mean|double
raw_perimeter|double
raw_convex_perimeter|double
raw_legendre_major|double
raw_legendre_minor|double
abd_area|double
abd_diameter|double
length|double
width|double
esd_diameter|double
fd_diameter|double
perimeter|double
convex_perimeter|double
intensity|double
sigma_intensity|double
sum_intensity|double
compactness|double
elongation|double
roughness|double
edge_gradient|double
elapsed_time|double
circle_fit|double
symmetry|double
circularity_hu|double
intensity_calimage|double
raw_convex_hull_area|double
raw_filled_area|double
filled_area|double
feret_max_angle|double
feret_min_angle|double
timestamp|timestamp
collage_file|string
image_id|guid
11|763|0|31|38|552|903|32|1|1|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|607.0000|38.0000|25.0000|31.7222|111.2548|96.5211|37.5145|22.3592|36904.3395|216.7673|311.6572|190.7156|253.2538|216.7673|1035.0260|856.0911|40.3888|26.2903|24516.0000|1.6227|2.7318|1.2090|161.4388|3.7040|0.5068|0.3913|0.8104|0.0000|641.0000|607.0000|36904.3395|40.0000|-40.0000|2021-10-21T03:26:21.089|294-032502 st2 4 juni 2021 50 m halv_000001.tif|23AAA122-9E28-4FF0-B874-98C54292A3AA
12|796|0|89|168|735|898|32|1|2|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|3358.0000|164.0000|75.0000|127.0000|529.0437|395.8873|213.1826|65.2991|252006.8380|566.4495|1483.8604|655.8756|1139.6420|571.8601|4921.7995|3641.1539|38.7901|23.7866|130257.0000|6.5163|18.4173|1.3517|135.9513|3.7040|0.0000|0.4656|0.1751|0.0000|8541.5000|3418.0000|256844.0098|70.0000|-15.0000|2021-10-21T03:26:21.089|294-032502 st2 4 juni 2021 50 m halv_000001.tif|435A5A00-F0B9-4E59-A468-193736B1986F
13|887|0|43|91|734|739|32|1|1|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|1458.0000|93.0000|39.0000|68.4444|281.3208|212.0906|73.8798|35.0756|101206.6047|358.9711|823.3332|320.9604|594.8880|358.9711|2617.1841|1931.2566|38.3436|24.3870|55905.0000|4.3195|11.4831|1.3552|177.9536|3.7040|0.1187|0.6632|0.5551|0.0000|2519.0000|1458.0000|101206.6047|65.0000|0.0000|2021-10-21T03:26:21.089|294-032502 st2 4 juni 2021 50 m halv_000001.tif|428CF67C-0561-4192-8670-7CB62D205F4F
14|932|0|58|81|631|708|32|1|1|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|1058.0000|93.0000|42.0000|69.3611|261.5807|214.8600|72.0021|26.6677|70491.8476|299.5881|823.3332|348.8700|603.4159|299.5881|2433.5379|1957.0216|43.6786|27.0875|46212.0000|5.1465|14.0974|1.2435|116.1803|3.7040|0.0000|0.4678|0.4570|0.0000|1935.0000|1058.0000|70491.8476|-60.0000|35.0000|2021-10-21T03:26:21.089|294-032502 st2 4 juni 2021 50 m halv_000001.tif|DC0AF917-69B2-4062-9DF8-8DCB49511600
15|992|0|74|63|210|620|32|1|2|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|927.0000|90.0000|42.0000|64.6111|212.4092|199.6841|56.5603|27.8170|60589.8941|277.7507|795.4236|348.8700|559.2257|277.7507|1976.0849|1815.8364|39.0928|24.1047|36239.0000|3.8731|10.0683|1.0883|134.2350|3.7040|0.0000|0.2961|0.5942|0.0000|1905.0000|927.0000|60589.8941|-40.0000|40.0000|2021-10-21T03:26:21.089|294-032502 st2 4 juni 2021 50 m halv_000001.tif|F8B98621-9330-4907-867F-5531A5C81213
16|1068|0|69|69|146|110|32|1|3|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|2543.0000|72.0000|60.0000|65.6389|287.4214|203.4020|64.5193|54.1997|186660.2571|487.5071|627.9660|516.3276|568.7873|487.5071|2673.9383|1850.4254|28.1589|21.2517|71608.0000|2.5851|5.9534|1.4450|88.7602|3.7040|0.5127|0.4122|0.9120|0.0000|2970.5000|2543.0000|186660.2571|60.0000|-85.0000|2021-10-21T03:26:21.089|294-032502 st2 4 juni 2021 50 m halv_000001.tif|77E5B6FF-8C82-4201-B2AA-0B416A9454A1
17|1139|0|38|48|603|1832|33|1|1|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|778.0000|52.0000|22.0000|38.6944|135.7817|118.3940|52.2173|20.2691|49457.1145|250.9397|441.9020|162.8060|318.1178|250.9397|1263.2047|1059.5785|33.3779|18.8166|25968.0000|1.8858|3.6504|1.1922|145.4336|3.8130|0.2354|0.2450|0.6314|0.0000|832.5000|778.0000|49457.1145|55.0000|-35.0000|2021-10-21T03:26:21.200|294-032502 st2 4 juni 2021 50 m halv_000001.tif|BD81BDB9-B22C-4A88-97D3-4CD1EAA96F2D
18|0|195|65|75|271|1583|33|1|4|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|994.0000|88.0000|34.0000|63.5556|335.6640|196.5831|84.1852|31.9197|65642.4111|289.0995|776.8172|274.4444|549.4056|289.0995|3122.7493|1786.9875|57.8229|19.0906|57476.0000|9.0201|26.2996|1.7475|87.4369|3.8130|0.0000|0.0960|0.3123|0.0000|2070.5000|994.0000|65642.4111|50.0000|-55.0000|2021-10-21T03:26:21.200|294-032502 st2 4 juni 2021 50 m halv_000001.tif|15466533-B488-4784-B966-74C4BF8A8667
19|67|195|31|38|642|1484|33|1|1|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|715.0000|35.0000|27.0000|31.0556|98.0833|94.5778|34.3544|26.5301|44800.5517|238.8343|283.7476|209.3220|247.0516|238.8343|912.4882|838.0122|28.7748|19.9078|20574.0000|1.0707|1.0000|1.0889|204.4167|3.8130|0.8032|0.9202|0.9664|0.0000|684.5000|715.0000|44800.5517|65.0000|0.0000|2021-10-21T03:26:21.200|294-032502 st2 4 juni 2021 50 m halv_000001.tif|12B17B61-67F0-46DA-BAA2-6D06115A7AA3
20|100|195|64|54|1017|1227|33|1|1|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|1487.0000|65.0000|46.0000|57.7778|241.1960|178.3603|52.2129|43.0464|103455.6869|362.9378|562.8436|386.0828|495.6538|373.4190|2243.8942|1617.4572|32.5414|26.4706|48389.0000|2.9581|7.1534|1.3873|107.4862|3.8130|0.4225|0.3905|0.8703|0.0000|1959.5000|1565.0000|109517.3031|35.0000|-75.0000|2021-10-21T03:26:21.200|294-032502 st2 4 juni 2021 50 m halv_000001.tif|9DD4B919-D55D-45DE-B4C6-ABC4978F5F54
21|166|195|96|89|538|1183|33|1|1|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|2971.0000|92.0000|76.0000|83.0833|451.5879|257.8303|87.6635|65.7464|220887.8274|530.3236|814.0300|665.1788|731.0765|530.3236|4201.2123|2356.7828|32.2625|23.6413|95852.0000|5.4623|15.0939|1.7826|160.1387|3.8130|0.0665|0.1470|0.6301|0.0000|4642.0000|2971.0000|220887.8274|0.0000|-65.0000|2021-10-21T03:26:21.200|294-032502 st2 4 juni 2021 50 m halv_000001.tif|91722360-90DF-48C3-8AA5-5609C506DF89
22|264|195|46|41|791|1028|33|1|1|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|1011.0000|49.0000|35.0000|41.0833|142.4680|125.7287|45.3001|29.9878|66928.4286|291.9177|413.9924|283.7476|340.3421|291.9177|1325.4086|1127.8152|35.3403|23.4728|35729.0000|1.5976|2.6403|1.1752|137.7398|3.8130|0.5942|0.6679|0.8723|0.0000|1105.0000|1011.0000|66928.4286|-45.0000|60.0000|2021-10-21T03:26:21.200|294-032502 st2 4 juni 2021 50 m halv_000001.tif|3BCDB412-FC00-4F82-B587-9AAEB28C3B4D
23|312|195|55|37|908|939|33|1|2|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|895.0000|53.0000|32.0000|43.6389|153.6396|133.8354|44.4669|29.2385|58186.2659|272.1857|451.2052|255.8380|364.1169|272.1857|1429.3400|1203.2334|40.8335|26.0334|36546.0000|2.0988|4.3645|1.1879|120.6222|3.8130|0.4226|0.4496|0.8047|0.0000|1131.0000|895.0000|58186.2659|10.0000|-80.0000|2021-10-21T03:26:21.200|294-032502 st2 4 juni 2021 50 m halv_000001.tif|9B269FEA-F887-4DD4-9D19-342B5281CE8F
24|369|195|32|41|1005|884|33|1|1|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|792.0000|41.0000|27.0000|33.7222|106.0833|102.4255|38.9991|26.0068|50496.3354|253.5625|339.5668|209.3220|271.8602|253.5625|986.9138|911.0205|24.8131|18.2291|19652.0000|1.1307|1.0000|1.0833|230.2826|3.8130|0.6897|0.8338|0.9179|0.0000|759.0000|792.0000|50496.3354|-60.0000|20.0000|2021-10-21T03:26:21.200|294-032502 st2 4 juni 2021 50 m halv_000001.tif|66EE4D7D-3BCC-4CB5-9963-D661A9C66261
25|403|195|45|32|741|448|33|1|1|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|685.0000|45.0000|26.0000|35.3056|119.6396|108.0665|41.4563|22.8528|42595.4645|232.8824|376.7796|200.0188|286.5902|232.8824|1113.0312|963.5001|38.1036|24.4415|26101.0000|1.6628|2.8763|1.1552|158.2574|3.8130|0.4365|0.4691|0.7784|0.0000|775.0000|685.0000|42595.4645|25.0000|-75.0000|2021-10-21T03:26:21.200|294-032502 st2 4 juni 2021 50 m halv_000001.tif|DE80B27E-C938-4D94-AD81-DCFE02A238C0
26|450|195|51|57|290|371|33|1|1|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|542.0000|68.0000|19.0000|48.1944|176.8528|148.2463|74.2358|14.7634|32215.0266|202.5276|590.7532|134.8964|406.4982|202.5276|1645.2971|1337.3006|54.7989|21.0466|29701.0000|4.5921|12.3456|1.2303|133.8553|3.8130|0.0000|0.1787|0.2409|0.0000|887.0000|542.0000|32215.0266|-55.0000|40.0000|2021-10-21T03:26:21.200|294-032502 st2 4 juni 2021 50 m halv_000001.tif|CFDF003F-A59B-4647-85DA-BA3D233C200A
27|503|195|81|94|158|81|33|1|3|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|3253.0000|98.0000|61.0000|83.0833|383.6051|258.0695|98.0272|48.3035|243549.5234|556.8634|869.8492|525.6308|731.0765|556.8634|3568.7551|2359.0080|32.0470|23.4328|104249.0000|3.5998|9.2003|1.5128|78.8399|3.8130|0.2669|0.4908|0.6936|0.0000|4631.0000|3253.0000|243549.5234|-45.0000|30.0000|2021-10-21T03:26:21.200|294-032502 st2 4 juni 2021 50 m halv_000001.tif|3D8B6B18-3A6C-48D8-BB2A-FE7CFDE04015
28|586|195|40|53|329|1808|34|1|1|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|697.0000|52.0000|24.0000|39.7500|142.0244|122.4677|47.5336|20.5611|43476.4907|235.2785|441.9020|181.4124|327.9378|235.2785|1321.2813|1097.4773|33.4634|19.2395|23324.0000|2.3029|5.0364|1.2039|124.0847|3.9220|0.3219|0.5011|0.6617|0.0000|809.5000|697.0000|43476.4907|-75.0000|30.0000|2021-10-21T03:26:21.313|294-032502 st2 4 juni 2021 50 m halv_000001.tif|252044DF-8DEE-4088-AF70-68724B92B004
29|628|195|57|74|609|1705|34|1|2|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|1683.0000|72.0000|48.0000|62.2222|209.4802|192.4949|55.8548|41.6894|118719.3067|388.7906|627.9660|404.6892|537.0014|388.7906|1948.8365|1748.9538|33.4528|21.3609|56301.0000|2.0749|4.2850|1.1143|111.9213|3.9220|0.3896|0.4707|0.8822|0.0000|2349.5000|1683.0000|118719.3067|-75.0000|15.0000|2021-10-21T03:26:21.313|294-032502 st2 4 juni 2021 50 m halv_000001.tif|2D6D36BB-F6C9-441D-A6EA-D2F6CF907859
30|687|195|50|38|957|1630|34|1|1|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|1040.0000|50.0000|32.0000|42.3611|146.3259|129.7320|47.7806|28.9823|69125.7836|296.6710|423.2956|255.8380|352.2295|299.5881|1361.2991|1165.0585|41.7154|27.8200|43384.0000|1.6104|2.6872|1.1684|139.8626|3.9220|0.5813|0.7812|0.8627|0.0000|1156.0000|1058.0000|70491.8476|-25.0000|75.0000|2021-10-21T03:26:21.313|294-032502 st2 4 juni 2021 50 m halv_000001.tif|ACB9B28E-A93B-44AF-95DA-29827D85FD8F
31|739|195|141|167|384|1530|34|1|18|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|2873.0000|150.0000|127.0000|139.3333|1083.9037|434.2875|164.1731|121.7136|213031.7560|520.8075|1353.6156|1139.6420|1254.3815|526.1678|10083.7726|3998.3993|48.4880|24.0370|139306.0000|31.9301|98.3012|2.5220|110.8108|3.9220|0.0000|0.0900|0.1785|0.0000|14038.0000|2928.0000|217439.4848|-80.0000|-30.0000|2021-10-21T03:26:21.313|294-032502 st2 4 juni 2021 50 m halv_000001.tif|8D54B838-C118-4BEE-8C17-46ED10DEABE0
32|882|195|89|34|286|1504|34|1|1|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|939.0000|85.0000|25.0000|59.0833|206.1665|182.2222|69.5679|22.0248|61492.8869|279.8128|748.9076|190.7156|507.7997|279.8128|1918.0084|1653.3855|38.6944|20.6601|36334.0000|3.6021|9.2079|1.1600|139.5393|3.9220|0.0000|0.3693|0.4491|0.0000|1354.5000|939.0000|61492.8869|0.0000|70.0000|2021-10-21T03:26:21.313|294-032502 st2 4 juni 2021 50 m halv_000001.tif|C005747C-B96C-444C-A96F-B7F6C92C1798
33|973|195|146|318|539|1153|34|1|4|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|19766.0000|322.0000|142.0000|249.5833|1781.1312|781.1613|319.4908|114.6195|1615060.9453|1434.0012|2953.7660|1279.1900|2280.0593|1455.6452|16570.2194|7225.4353|47.4298|24.0811|937497.0000|12.4056|36.9463|2.2933|124.4445|3.9220|0.0000|0.1301|0.4498|0.0000|36068.5000|20350.0000|1664182.5504|65.0000|0.0000|2021-10-21T03:26:21.313|294-032502 st2 4 juni 2021 50 m halv_000001.tif|2E0ABE8F-0A5A-4AE1-B386-2B95CF4A3DC2
34|0|515|97|64|118|771|34|1|4|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|743.0000|100.0000|46.0000|73.8333|209.2376|228.8477|65.6879|45.7187|46865.9770|244.2777|888.4556|386.0828|645.0219|244.2777|1946.5791|2087.1514|43.0781|21.4690|32007.0000|4.6890|12.6519|0.9326|149.3073|3.9220|0.0000|0.2439|0.2954|0.0000|2438.0000|743.0000|46865.9770|-25.0000|65.0000|2021-10-21T03:26:21.313|294-032502 st2 4 juni 2021 50 m halv_000001.tif|2369B209-D905-4BAC-BB3C-296B1716A33A
35|99|515|36|31|445|711|34|1|1|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|592.0000|37.0000|25.0000|31.0278|106.0833|94.6974|31.1495|25.7927|35817.5561|213.5517|302.3540|190.7156|246.7932|213.5517|986.9138|839.1244|30.2584|20.6018|17913.0000|1.5127|2.3217|1.1761|180.7826|3.9220|0.6418|0.5879|0.9217|0.0000|630.5000|592.0000|35817.5561|30.0000|-85.0000|2021-10-21T03:26:21.313|294-032502 st2 4 juni 2021 50 m halv_000001.tif|A81F194A-0126-46D6-9D14-3DFCCB29614D
36|137|515|88|92|553|681|34|1|1|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|969.0000|104.0000|50.0000|81.5000|329.5635|252.6989|110.3916|48.6644|63754.1121|284.9110|925.6684|423.2956|716.3464|284.9110|3065.9951|2309.0441|52.3725|20.7938|50749.0000|8.9196|25.9832|1.3278|162.7465|3.9220|0.0000|0.3442|0.1695|0.0000|3129.0000|969.0000|63754.1121|55.0000|-35.0000|2021-10-21T03:26:21.313|294-032502 st2 4 juni 2021 50 m halv_000001.tif|395504B4-3E0C-4BA8-9BB4-16F84CB87766
37|227|515|42|44|118|659|34|1|2|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|715.0000|47.0000|32.0000|39.1667|143.3970|119.6960|40.2202|27.3768|44800.5517|238.8343|395.3860|255.8380|322.5109|238.8343|1334.0507|1071.6914|36.7497|20.1933|26276.0000|2.2886|4.9893|1.2448|176.2619|3.9220|0.3593|0.3742|0.7692|0.0000|955.0000|715.0000|44800.5517|50.0000|-45.0000|2021-10-21T03:26:21.313|294-032502 st2 4 juni 2021 50 m halv_000001.tif|E23C9FCA-AE1F-4CF2-BE36-68FF0CB9A62F
38|271|515|47|70|320|640|34|1|2|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|824.0000|69.0000|41.0000|54.4444|222.9361|168.1915|49.9251|32.6654|52877.3339|259.4716|600.0564|339.5668|464.6432|259.4716|2074.0189|1522.8552|37.5595|24.8264|30949.0000|4.7998|13.0021|1.3619|148.6467|3.9220|0.0563|0.2147|0.5895|0.0000|1709.5000|824.0000|52877.3339|65.0000|5.0000|2021-10-21T03:26:21.313|294-032502 st2 4 juni 2021 50 m halv_000001.tif|8A1841F4-8241-4530-9EE5-75FFADFB084D
39|320|515|46|44|715|506|34|1|1|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|1330.0000|44.0000|39.0000|42.0556|133.6396|129.0076|43.1440|39.3426|91311.8929|340.9720|367.4764|320.9604|349.3868|340.9720|1243.2760|1158.3189|23.3075|17.4770|30999.0000|1.0686|1.0000|1.0733|227.1478|3.9220|0.9046|0.9167|0.9934|0.0000|1292.0000|1330.0000|91311.8929|20.0000|-40.0000|2021-10-21T03:26:21.313|294-032502 st2 4 juni 2021 50 m halv_000001.tif|727BAD33-3FD8-4A23-84DA-2F987DAA932D
40|368|515|36|38|366|493|34|1|1|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|754.0000|39.0000|26.0000|32.8056|104.5685|99.9047|37.2274|26.0605|47679.2434|246.3881|320.9604|200.0188|263.3322|246.3881|972.8221|887.5688|27.6950|18.8692|20882.0000|1.1540|1.0000|1.0961|196.9773|3.9220|0.7252|0.8351|0.9298|0.0000|728.0000|754.0000|47679.2434|-60.0000|45.0000|2021-10-21T03:26:21.313|294-032502 st2 4 juni 2021 50 m halv_000001.tif|5CED6DF3-E102-4226-9D92-CD1CB65EC9F1
41|406|515|40|45|405|304|34|1|1|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|1065.0000|43.0000|33.0000|38.0556|122.4680|116.7475|41.1621|33.1775|71023.5358|300.7158|358.1732|265.1412|312.1740|300.7158|1139.3446|1044.2611|27.9127|19.0196|29727.0000|1.1207|1.0000|1.0911|181.9029|3.9220|0.8054|0.8163|0.9703|0.0000|1038.0000|1065.0000|71023.5358|-65.0000|40.0000|2021-10-21T03:26:21.313|294-032502 st2 4 juni 2021 50 m halv_000001.tif|2073C67E-FB56-41DB-9800-9D93E3113C32
42|448|515|67|70|960|198|34|1|3|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|754.0000|75.0000|49.0000|62.8889|311.3208|194.7188|76.7129|35.8608|47679.2434|246.3881|655.8756|413.9924|543.2035|249.2412|2896.2801|1769.6439|70.2745|20.5514|52987.0000|10.0295|29.4747|1.6366|72.7004|3.9220|0.0033|0.0307|0.2731|0.0000|2303.0000|769.0000|48789.8644|-55.0000|30.0000|2021-10-21T03:26:21.313|294-032502 st2 4 juni 2021 50 m halv_000001.tif|CEA022E7-4CFC-433B-AC52-72B6BC16D57E
43|517|515|78|63|353|159|34|1|2|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|1397.0000|77.0000|42.0000|61.7500|251.7645|190.7130|69.0853|31.5486|96484.3829|350.4964|674.4820|348.8700|532.6082|350.4964|2342.2155|1732.3766|30.8876|20.9735|43150.0000|3.6106|9.2348|1.3520|174.2311|3.9220|0.1853|0.1859|0.6167|0.0000|2334.5000|1397.0000|96484.3829|-15.0000|45.0000|2021-10-21T03:26:21.313|294-032502 st2 4 juni 2021 50 m halv_000001.tif|4EA8AFC4-5D28-4704-AA12-6107CE696F41
44|597|515|86|86|563|123|34|1|1|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|1033.0000|99.0000|59.0000|80.0000|304.7351|248.3718|76.6381|33.9683|68594.9843|295.5298|879.1524|507.0244|702.3916|295.5298|2835.0112|2268.7884|41.1868|26.5158|42546.0000|7.1538|20.4253|1.2496|123.3269|3.9220|0.0000|0.1776|0.3743|0.0000|2875.5000|1033.0000|68594.9843|55.0000|-35.0000|2021-10-21T03:26:21.313|294-032502 st2 4 juni 2021 50 m halv_000001.tif|CCD42918-FAFA-4C83-A1ED-AA3A3CC98D5C
